Number of occurrences (+-),POS,Lemma,Morph,Morph corrected phonetics,Gloss,замечания (ОТВЕТ НА НЕГО ПИШИТЕ КОММЕНТАРИЕМ К ЯЧЕЙКЕ),Context,ft,Transcription,Source
1,n,?,habajikan,habajikan,?,"Похоже на комитатив, но вот от какого слова",()      jaq'-bɨr (laugther-pl)      h-aʔa-r=a (inan.pl-do.ipfv-cvb=be)       ()      zarafatbɨr (joke-pl)      h-aʔa-r=a (inan.pl-do.ipfv-cvb=be)       ()      habajikan (?)      baχn-ɨj-kan (cause-obl-com)       ()      hawɨ-ji (air-onl)      ʁaʔ (outside.loc)      ʁ-adubʁu-r=a (ousider-go-cvb=be)       (),"Шутим, подшучиваем, смеемся -- вот так и собираем чернику.",jaq'bɨr haʔara zarafatbɨr haʔara habajikan baχnɨjkan hawɨji ʁaʔ ʁadubʁura,180725_0187_ludmila
1,v,hac'ɨs,h-ac'a-biši-s,hac'a-biši-s,1.know.IPFV-PL.OBL-DAT,,ǯ-ac'a-biše (neg-know.ipfv-pl) h-ac'a-biši-s (1-know.ipfv-pl.obl-dat) χaˤr h-a-j-ma-n (? 1-do.ipfv-pst-lim?-nmlz) maa (again) wad (2sg.erg) šiwi (what) w-aʔa-s-dɨ (3-do.ipfv-inf-fut) xa (ptcl.cit),"Тех, которые знают, пусть незнающие учат (ошибся).",ǯac'abiše hac'abišis χaˤr hajman maa was šiwi waʔasdɨ xa,kna_muzafer06
1,v,hac'ɨs,h-ac'a-biši-s,hac'a-biši-s,4.know.IPFV-PL.OBL-DAT,,ǯ-ac'a-biše (neg-know.ipfv-pl) h-ac'a-biši-s (1-know.ipfv-pl.obl-dat) χaˤr h-a-j-ma-n (? 1-do.ipfv-pst-lim?-nmlz) maa (again) wad (2sg.erg) šiwi (what) w-aʔa-s-dɨ (3-do.ipfv-inf-fut) xa (ptcl.cit),"Тех, которые знают, пусть незнающие учат (ошибся).",ǯac'abiše hac'abišis χaˤr hajman maa was šiwi waʔasdɨ xa,kna_muzafer06
1,v,wac'as,hac'a-d-0;hac'a-d,hac'a-d,1.know.IPFV-ATTR,согласование?,()      haja (then)      lalči-r (1.jump.PFV-CVB)      xi-j-e (water-OBL-IN.LOC)      xed-0 (water-ABS)      hac'a-d-0 (1.know.IPFV-PTCP-ABS)      gadi-eš-a (fellow-OBL.PL-ERG)      χakaq'u-r (1.catch.PFV-CBV)      diʔi (HPL.are)       ()      esli (if)      χak-ǯ-aq'ɨ-r-ij-den (1.catch-NEG-catch.PFV-CVB-IRR-CTRF)       ()      lec'-ura-ra (river-OBL-ERG)      jɨχe-s-ij (1.carry.away.IPFV-INF-IRR)      zɨ (I.ABS)      χa (also)      dünja-di (world.OBL-LOC)      hɨkɨ-s-dɨ-diš-ij (1.be.PFV-INF-PTCP-NEGAUX-IRR)       (),"Тогда [те], кто умел плавать, прыгнув в воду, поймали [его];""""если бы не поймали, река бы унесла его, и меня бы не стало на свете""""","haja lalčir xije xed hac'ad gadieša χakaq'ur diʔi """"esli χakǯaq'ɨrijden lec'urara jɨχesij zɨ χa dünjadi hɨkɨsdɨdišij"""" ",latin_kna_said04latin
1,v,wac'as,hac'a-d-0;hac'a-d,hac'a-d,4.know.IPFV-ATTR,согласование?,()      haja (then)      lalči-r (1.jump.PFV-CVB)      xi-j-e (water-OBL-IN.LOC)      xed-0 (water-ABS)      hac'a-d-0 (1.know.IPFV-PTCP-ABS)      gadi-eš-a (fellow-OBL.PL-ERG)      χakaq'u-r (1.catch.PFV-CBV)      diʔi (HPL.are)       ()      esli (if)      χak-ǯ-aq'ɨ-r-ij-den (1.catch-NEG-catch.PFV-CVB-IRR-CTRF)       ()      lec'-ura-ra (river-OBL-ERG)      jɨχe-s-ij (1.carry.away.IPFV-INF-IRR)      zɨ (I.ABS)      χa (also)      dünja-di (world.OBL-LOC)      hɨkɨ-s-dɨ-diš-ij (1.be.PFV-INF-PTCP-NEGAUX-IRR)       (),"Тогда [те], кто умел плавать, прыгнув в воду, поймали [его];""""если бы не поймали, река бы унесла его, и меня бы не стало на свете""""","haja lalčir xije xed hac'ad gadieša χakaq'ur diʔi """"esli χakǯaq'ɨrijden lec'urara jɨχesij zɨ χa dünjadi hɨkɨsdɨdišij"""" ",latin_kna_said04latin
1,*(v post),wac'as,h-ac'a-d-i-la quʔ;hac'a-d-i-la quʔ,hac'a-d-i-la quʔ,1.know.IPF-ATTR-OBL.N-EL backward,,gedxɨr (посмотрев) xur=xa (QUOT=ADD) h-ac'a-r-a (1-know.ipfv-cvb-aux1) h-ac'a-r-a (1-know.ipfv-cvb-aux1) χabar (news) w-iʔi (3-COP1) xujne (???) () we-s (2pl.obl-dat) h-ac'a-d-i-la quʔ (1-know.ipfv-atr-и-el-ahead*) zad (1sg.erg) we-da (2pl.obl-apud.loc) šuw (what) q-uxu-s-ɨ (back-say.pfv.3*-inf-fut) xur (QUOT) we-s (2pl.obl-dat) h-ac'a-r-i-j xe (1-know.pfv-cvb-aux1-pst-emph) xu-r (say.pfv-cvb),"Посмотрев, сказали: знаем, знаем! Мы в курсе. (МН):если вы знаете, мне что говорить? Вы же знаете!",gedqɨr xur xa hac'ara hac'ara χabar wiʔi wes hac'adila quʔ zad weda šuw quxusɨ xur wes hac'arij xe xur!,kna_muzafer06
1,v,wac'as,hac'a-d-kaldɨ-bɨr-0;hac'a-d-kal-dɨ-bɨr,hac'a-d-kal-dɨ-bɨr,1.know.IPFV-ATTR-SIMIL-ATTR-PL,,mij (here)       ()      xed-0 (water-ABS)      hac'a-d-kaldɨ-bɨr-0 (4.know.IPFV-PTCP-kaldɨ-PL-ABS)      xi-j-e (water-OBL-IN.ESSIVE)      keʁe<l>č'u-s-dɨ-bɨr-0 (<HPL>swim-INF-PTCP-PL-ABS)      la<d>ɨbči-r-a (<HPL>jump.PFV-CVB-AUX1)      kɨˤr<d>ɨrχɨ-r-a (<HPL>swim.across.PFV-CVB-AUX1)       (),"здесь умеющие плавать (<те, которые могут перейти> в воде) прыгнули, перешли",mij xed hac'adkaldɨbɨr xije keʁelč'usdɨbɨr ladɨbčira kɨˤrdɨrχɨra,latin_kna_said04latin
1,v,wac'as,hac'a-d-kaldɨ-bɨr-0;hac'a-d-kal-dɨ-bɨr,hac'a-d-kal-dɨ-bɨr,4.know.IPFV-ATTR-SIMIL-ATTR-PL,,mij (here)       ()      xed-0 (water-ABS)      hac'a-d-kaldɨ-bɨr-0 (4.know.IPFV-PTCP-kaldɨ-PL-ABS)      xi-j-e (water-OBL-IN.ESSIVE)      keʁe<l>č'u-s-dɨ-bɨr-0 (<HPL>swim-INF-PTCP-PL-ABS)      la<d>ɨbči-r-a (<HPL>jump.PFV-CVB-AUX1)      kɨˤr<d>ɨrχɨ-r-a (<HPL>swim.across.PFV-CVB-AUX1)       (),"здесь умеющие плавать (<те, которые могут перейти> в воде) прыгнули, перешли",mij xed hac'adkaldɨbɨr xije keʁelč'usdɨbɨr ladɨbčira kɨˤrdɨrχɨra,latin_kna_said04latin
1,v,wac'as,h-ac'a-t'ɨ;hac'a-dɨ,hac'a-dɨ,1.know.IPFV-ATTR,"нормально, что hac'adɨ, а не hac'ad? + инфинитив скорее всего не так выглядит","kowχa-wal-i (elder-abstr-super.ess) keʁire-s (choose.ipfv.1-inf) w-iši-r (3-be.pfv-cvb) xʷa (and) ǯaˤmaaˤt-i-ra (people-obl-erg) man (?? связка;""""ну"""") his (???) xujne (???) malla nasredin (propr.name) wse rawno (-) h-ac'a-t'ɨ (1-known.ipfv-atr) kar (thing) j-iʔi (1-be.ipfv) xu-r (say.pfv-cvb)","Старшиной выбрать решил народ Малла Насредина, потому что он был известен всем.",kowχawali keʁiresdɨ wišir xʷa ǯaˤmaaˤtira man his xujne malla nasredin wse rawno hac'at'i kar jiʔi xur,kna_muzafer06
1,v,wac'as,h-ac'a-t'ɨ;hac'a-dɨ,hac'a-dɨ,4.know.IPFV-ATTR,"нормально, что hac'adɨ, а не hac'ad? + инфинитив скорее всего не так выглядит","kowχa-wal-i (elder-abstr-super.ess) keʁire-s (choose.ipfv.1-inf) w-iši-r (3-be.pfv-cvb) xʷa (and) ǯaˤmaaˤt-i-ra (people-obl-erg) man (?? связка;""""ну"""") his (???) xujne (???) malla nasredin (propr.name) wse rawno (-) h-ac'a-t'ɨ (1-known.ipfv-atr) kar (thing) j-iʔi (1-be.ipfv) xu-r (say.pfv-cvb)","Старшиной выбрать решил народ Малла Насредина, потому что он был известен всем.",kowχawali keʁiresdɨ wišir xʷa ǯaˤmaaˤtira man his xujne malla nasredin wse rawno hac'at'i kar jiʔi xur,kna_muzafer06
2,v,wac'as,h-ac'a-r-diš;hac'a-r-diš,hac'a-r-diš,1.know.IPFV-CVB-NO,,nes (before) h-ac'a-r-diš (1-know.ipfv-cvb-neg) xu-r (say.ipfv-cvb) xa (ptcl.cit) hamɨʔ (now) χotʲa bɨ (at.least) wɨte (go.hort) jed (1pl.erg) h-ac'a-r-a (1-know.ipfv-cvb-aux1) huxu-s (say.pfv.1-inf) xa (ADD) možet (-) sa (one) šiw-i-j-den (what-aux2-pst-ctrf) (hanuwa) (???) ruxa-d (say.ipfv.1*-atr) xu-r (say.pfv-cvb),"До этого говорили, что не знаем, щас, может, скажем, он что-то скажет.",nes hac'ardɨši xur xa hamɨʔ χotʲa bɨ wɨte jed hac'ara huxus xa možet sa šiwijden hanuwa ruxad xur,kna_muzafer06
1,v,wac'as,hac'a-r-diš,hac'a-r-diš,4.know.IPFV-CVB-NO,,q-aˤ<r>χɨˤ-r  (RE-<2>go.away.PFV-CVB)      xur  (QUOT)      nu  (but)      hileʔ=na  (where=INDEF.NEG)      q-aˤ<r>χɨˤ-r-ijden  (RE-<2>go.away.PFV-CVB-JDEN)      hac'a-r-diš  (4(?).know-CVB-NO)      xur  (QUOT)      šuw=na  (what=INDEF.NEG)      r-iši-r-ijden. (2-become.PFV-CVB-JDEN),"Ушла она, но не знаем куда, что с ней стало. ",q'aˤrχɨˤr xur nu hileʔna q'aˤrχɨˤrijden hac'ardiš xur šuwna riširijden,muhammad_shafi_4latin
1,*(v ptcl),wac'as,h-ac'a-r-i-j xe;hac'a-r-i-j he,hac'a-r-i-j he,1.know.IPFV-CVB-COP2-PST EMPH,,gedxɨr (посмотрев) xur=xa (QUOT=ADD) h-ac'a-r-a (1-know.ipfv-cvb-aux1) h-ac'a-r-a (1-know.ipfv-cvb-aux1) χabar (news) w-iʔi (3-COP1) xujne (???) () we-s (2pl.obl-dat) h-ac'a-d-i-la quʔ (1-know.ipfv-atr-и-el-ahead*) zad (1sg.erg) we-da (2pl.obl-apud.loc) šuw (what) q-uxu-s-ɨ (back-say.pfv.3*-inf-fut) xur (QUOT) we-s (2pl.obl-dat) h-ac'a-r-i-j xe (1-know.pfv-cvb-aux1-pst-emph) xu-r (say.pfv-cvb),"Посмотрев, сказали: знаем, знаем! Мы в курсе. (МН):если вы знаете, мне что говорить? Вы же знаете!",gedqɨr xur xa hac'ara hac'ara χabar wiʔi wes hac'adila quʔ zad weda šuw quxusɨ xur wes hac'arij xe xur!,kna_muzafer06
1,v,wac'as,hac'a-r-\i--ma?;hac'a-r-ɨ-ma;hac'a-r-\i-ma;h-ac'a-r-ɨ-ma,hac'a-r-ɨ-ma,1.know.IPFV-CVB-COP2-Q,,dibir (dibir)      xu-r=xa (say.PFV-CVB=ADD)      ramazan-a (ramazan-ERG)      wa-s (you.SG.OBL-DAT)      hac'a-r-\i--ma?  (know.IPFV-CVB-?-INTRG)      gʲaG-a  (look-IMP)      xurxa (say.PFV-CVB=ADD)      narmalna (normal)       aq'al-d\i-   (clever-ATTR)      a-ma (be-INTERR)      aa ()      jiz-d\i- (I.SG.OBL-ATTR)      dar\i-x ()      m\i-š-wal-d\i- (?-ABSTR-ATTR)      ? ()      a-ma (be-INTERR)      wa-s (you.SG.OBL-DAT)      saakit (calm)      j-ii-ma (1-COP1-INTERR)      j-ii (1-COP1),"Ты знаешь? посмотри, я в своем уме? Я сержусь или я спокоен?",dibir xurxa Ramazana was hac'ar\i-ma? gʲaGa xurxa normalьno aq'ald\i-,Magomedshapi_Nina_glossed_23_07latin
1,v,wac'as,hac'a-r-\i--ma?;hac'a-r-ɨ-ma;hac'a-r-\i-ma;h-ac'a-r-ɨ-ma,hac'a-r-ɨ-ma,4.know.IPFV-CVB-COP2-Q,,dibir (dibir)      xu-r=xa (say.PFV-CVB=ADD)      ramazan-a (ramazan-ERG)      wa-s (you.SG.OBL-DAT)      hac'a-r-\i--ma?  (know.IPFV-CVB-?-INTRG)      gʲaG-a  (look-IMP)      xurxa (say.PFV-CVB=ADD)      narmalna (normal)       aq'al-d\i-   (clever-ATTR)      a-ma (be-INTERR)      aa ()      jiz-d\i- (I.SG.OBL-ATTR)      dar\i-x ()      m\i-š-wal-d\i- (?-ABSTR-ATTR)      ? ()      a-ma (be-INTERR)      wa-s (you.SG.OBL-DAT)      saakit (calm)      j-ii-ma (1-COP1-INTERR)      j-ii (1-COP1),"Ты знаешь? посмотри, я в своем уме? Я сержусь или я спокоен?",dibir xurxa Ramazana was hac'ar\i-ma? gʲaGa xurxa normalьno aq'ald\i-,Magomedshapi_Nina_glossed_23_07latin
5,v,wac'as,h-ac'a-r-a;hac'a-r-a;hac'a-r=a,hac'a-r=a,1.know.IPFV-CVB=be,,nes (before) h-ac'a-r-diš (1-know.ipfv-cvb-neg) xu-r (say.ipfv-cvb) xa (ptcl.cit) hamɨʔ (now) χotʲa bɨ (at.least) wɨte (go.hort) jed (1pl.erg) h-ac'a-r-a (1-know.ipfv-cvb-aux1) huxu-s (say.pfv.1-inf) xa (ADD) možet (-) sa (one) šiw-i-j-den (what-aux2-pst-ctrf) (hanuwa) (???) ruxa-d (say.ipfv.1*-atr) xu-r (say.pfv-cvb),"До этого говорили, что не знаем, щас, может, скажем, он что-то скажет.",nes hac'ardɨši xur xa hamɨʔ χotʲa bɨ wɨte jed hac'ara huxus xa možet sa šiwijden hanuwa ruxad xur,kna_muzafer06
1,v,wac'as,hac'a-r-a;hac'a-r=a,hac'a-r=a,4.know.IPFV-CVB=be,,? ()      ? ()      hac'a-r-\i-ma  (know.IPFV-CVB-?-INTERR)      ? ()      ? ()      gag (father.in.law)      ? ()      huš  (who)      uxune (say.PFV-TEMP2)      ismail (Ismail)      hac'a-r-a  (know.IPF-CVB-bw)      xu-r-xa (say.PFV-CVB=ADD)      he-mi-d (EMPH-this-4)      mi? (this)      Gaq' (look.IMP)      ham\i-?  (now)      w\i--d\i-  (you.SG-ATTR)      r\i-š  (daughter)      uxu-r-xa (say.PFV-CVB=ADD)      w\i--d\i-  (you.SG-ATTR)      r\i-š  (daughter),"Сейчас говорит. Знаете ли, тесть? - кто сказал - Исмаил знаю сказал - сюда смотри - твоя дочь сказал",ham\i- uxurxWa hac'ar\i-ma gag - huš uxune - ismail hac'ara xurxa - hemit mi? Gaq' ham\i-? w\i-d\i- r\i-š uxurxa,Magomedshapi_Nina_glossed_23_07latin
1,v,wac'as,hac'\i--r;hac'ɨ-r,hac'ɨ-r,1.know.PFV-CVB,,šak  (feeling)      eRidxu-r (leave.PFV-CVB)      hac'\i--r (1.know.PFV-CVB)      mi-j (this-?)      wa-kan (you.OBL-COMIT)      a-ni-j-i-ʔi (be-CVB-1-be-PST),"уверен (предчувствие вышло), узнал, тут с тобой кто-то есть",šak eRidxur hac'\i-r mij wakan anijiʔi,Magomedshapi_Nina_glossed_23_07latin
1,v,wac'as,hac'\i--r;hac'ɨ-r,hac'ɨ-r,4.know.PFV-CVB,,šak  (feeling)      eRidxu-r (leave.PFV-CVB)      hac'\i--r (1.know.PFV-CVB)      mi-j (this-?)      wa-kan (you.OBL-COMIT)      a-ni-j-i-ʔi (be-CVB-1-be-PST),"уверен (предчувствие вышло), узнал, тут с тобой кто-то есть",šak eRidxur hac'\i-r mij wakan anijiʔi,Magomedshapi_Nina_glossed_23_07latin
1,pron,?,Hadal;hada,hada,PTCL,,"   xu-jne...  (say.PFV-COND)      tin  (yonder(NOM))      ermeni-ra  (Armenian-ERG)      huxu-r=xwa,  (say.PFV-CVB(AOR)=ADD)      Hada  (PTCL)      zɨ=xa  (I=ADD)      ha-sa  (that-MNR)      i-j  (COP2-PST)      xur=xwa. (QUOT=ADD)   ","Сказал... тот арменин сказал: Эй, я тоже так же был.","Xujne... tin ermenira huxur=xwa, Hada zɨ=xa hasa ij xur=xwa. ",kna_2018_17_gljh_1942latin
2,pron,?,hadan,hadan,?,,"   njah  (???)      ha-nɨwɨ-s (that-OBL.H-DAT)      za-d  (I-ERG)      t'it'  (nipple)      ki-wɨ-s-dɨ  (SURF-give(?)-INF-ATTR)      χotja  (although[R])      sa  (one)      hadan  (???)      za-d  (I-ERG)      uˤχuˤ-n  (1.keep.PFV-MSD)      badana,  (for)      sa  (one)      elig  (???)      q-ɨʔɨ-n  (RE-1.do.PFV-MSD)      badana,  (for)      ha-d  (that-ATTR)      χɨnɨχ  (child)      za-d,  (I-ERG)      we-χ (you.PL-SUB.ESS)      we-χda=xa  (you.PL-SUB.ESS=ADD)      šudda  (how.much)      kirx (SURF-??? (= просить))      minnat  (request)      w-aʔa-r=a  (3-do.IPFV-CVB-be)      kar  (thing)      hɨkɨsɨ  (4.become-INF-FUT)      xur=xa,  (QUOT=ADD)      sa  (one)      hadan  (???)      uˤχuˤ-s  (1.keep-INF)      za-d  (I-ERG)      zɨ=xa  (I=ADD)      uˤ<r>uˤχuˤ-n  (<2>keep.PFV-MSD)      badana  (for)      xur=xa (QUOT=ADD)      za-d  (I-ERG)      ha-d  (that-ATTR)      χa-ʁu-r=xa, (PV-1.throw.PFV-CVB=ADD)      Аllah-a-d  (Allah-OBL-ATTR)      uliχda  (in.front)      iz-dɨ  (I.OBL-ATTR)      jüzüqara  (sinner)      jiʔi  (COP2(?))      xur=xa. (QUOT=ADD)   ","Вместо того чтобы его кормить, лучше я за старшим присмотрю, сколько можно у вас просить, умолять, чтобы одного сохранить и себя сохранить я его бросила, перед Богом я согрешила(?).","njah hanɨ wɨs zad t'it' kiwɨsdɨ χotja sa hadan zad uˤχuˤn badana, sa elig qɨʔɨn badana, had χɨnɨχ zad, weχda xa šudda kirx... minnat waʔara kar hɨkɨsɨ xurxa, sa hadan uˤχuˤs zad zɨxa uˤruˤχuˤn badana xur xa zad had χaʁur xa, Allahad uliχda izdɨ jüzü qara jiʔi xurxa ",muhammad_shafi_4latin
1,n,ʁaq',haɢ,haɢ,law,звук,dmaˤmaaˤt-i-ra (people-obl-erg) jahmiš w-iši-r (gather 3*-be.pfv*.?-cvb) xʷa (ptcl.cit) malla nasredin (propr.name) kowχa-wal-e (elder-abstr-super.ess) keʁire-s (choose.ipfv.1-inf) ǯaˤmaaˤt-i-d (people-obl-atr) haɢ (law) hɨʔɨn (4-do.ipfv-inf) badana-ma (for-lim?),"Люди собрались выбрать Малла Насредина старшиной, чтобы он выносил решения (делал """"людской суд"""").",ǯamattira jaʁmiš wichšir xʷa malla nasredin kowχawale keʁires ǯaˤmaaˤtid haˤɢ hɨʔɨn badanama,kna_muzafer06
1,pron,ha,haj;Haj,haj,there(ESS),,"   haj,  (PTCL)      etim. (orphan)   ","Эй, сирота!","Haj, etim. ",kna_2018_17_gljh_1942latin
4,pron,ha,haja;haj-a,haj-a,there-EL,,haja (?)      mi (this)      ǯamaʔat-ije-ra (folk-obl-erg)      iǯilas-da (meeting-apud(lat))      решение ()      i-ʁ-ile-r=a (pv-pv-pull-cvb=be)       ()      mi-d (this-atr)      daχa-la (day-el)      qu-ʔ (back-lat)      ha-d (that-atr)      χɨ-dɨ-nuw-dɨ (?-atr-obl-atr)      χatir (offend)      a-d (be-atr)      q-aʔa-s-diš (re-do.ipfv-inf-no),"они собираются народом и обсуждают, что с этого дня они не будут обижать эту женщину",haja mi ǯamaˁʔatijera iǯilasda решение iʁilera mid daχala quʔ had xɨdɨnuwdɨ χatir ad haʔasdiš,180722_0090
1,*(pron adv),ha quʔ,haj-a-quʔ;haj-a qu-ʔ,haj-a qu-ʔ,there(ESS)-EL back-LAT,,haj-a-quʔ (there(ESS)-EL-backwards)      ha-nuw (that-ERG)      ǯi-dɨ (self-ATTR)      χɨni-m-er (child-OBL.PL-PL)      q'ɨx-e (grow-IMP)      d-ɨʔɨ-r (HPL-do.PFV-CVB)      ǯi-dɨ (self-ATTR)      haar (each)      sa (one)      ǯu-du (1.self-ATTR)      jer-aa (place-IN.EL)      ledek'a-d-ɨʔɨ-r (?-HPL-do.PFV-CVB)      d-ɨʔɨ-de-k-la-q'uʔ (HPL-do.PFV-?-INTER-EL-backwards),"После этого она своих детей вырастила, каждого на свое место доставила",hajaqu hanuw ǯidɨ xɨnimer q'ɨxe dɨʔɨr ǯidɨ haʔarsa ǯudu jera ledek'adɨʔɨr dɨʔɨdeklaq'uʔ,180724_0081_18-10-18
1,pron,ha,haj-e;haj-eʔ,haj-eʔ,there-ALL,,ha-d (this-ATTR)      Belja (bela)      Qadar (quadar)      pis-dɨ (bad-ATTR)      sɨw (mountain)      w-iʔi (3-COP1)       ()      haj-e (this-LOC)      l-e<l>č'u-r (PV-<HPL>go.up.PFV-CVB)      du-ruʔu-ma (HPL-go.IPFV-LIM)       ()      sɨw-a (mountain-LOC)      ʁa-d-ɨrga-d (OUT-HPL-remain.IPFV-ATTR)      jil-dɨ-ʔi (each-ATTR-COP2)      mɨq'-di-χda (cold-OBL-POST)      haʔ (out.of)      jiši-r (1.become.PFV-CVB)      hajxɨ ()      dɨ-q'ɨrq'ɨ-n-bɨr (HPL-die.IPFV-NMLZ-PL)      ruʔu-r-i (1.become.IPFV-CVB-COP2)       (),"Беляа Кьадар -- жестокая гора, если туда поднимешься, пока пройдешь по этой горе, кто-то там остается навечно, там замерзают и умирают.","had belja q'adar pistɨ suw wiʔi, haje lelč'ur duruʔuma suwa ʁadɨrgad jildɨʔi mɨq'diχdɨ haj išir hajxɨ dɨq'irq'ɨmbɨr ruʔuri ",kna_muhammadshafi05_1_6_18latin
3,pron,ha,haj-eʔ-dɨ,haj-eʔ-dɨ,there-ALL-ATTR,,"   haj-eʔ-dɨ  (there-ALL-ATTR)      kef,  (pleasure)      haj-eʔ-dɨ  (there-ALL-ATTR)      liʔi-n  (4.eat.PFV-NMLZ)      raˤʁɨ-n  (4.drink.PFV-NMLZ)      xur=xwa  (QUOT=ADD)      haj-eʔ-dɨ  (there-ALL-ATTR)      he-mi-sa  (EMPH-this-MNR)      xur=xwa  (QUOT=ADD)      liʔi-n  (4.eat.PFV-NMLZ)      raˤʁɨ-n  (4.drink.PFV-NMLZ)      ki  (???)      jak-ušir  (morning-???)      xur=xwa (QUOT=ADD)      kef-di-k  (pleasure-OBL-INTER.ESS)      ki-j  (SURF.be-PST)      zɨ  (I)      xur=xwa. (QUOT=ADD)   ","Там кайф, там еда-питье, сказал, там всю ночь я веселилился до утра (якушир).","Hajeʔdɨ kef, hajeʔdɨ liʔin raˤʁɨn xur=xwa, haeʔdɨ hemisa xur=xwa liʔin raˤʁɨn ki jakušir xur=xwa kefdik zɨ kij xur=xwa. ",kna_2018_17_gljh_1942latin
1,pron,ha,haj=xa,haj=xa,there(ESS)=ADD,,"   je-da  (we-APUD.ESS)      ruʔu-d  (NPL.become.IPFV-ATTR)      gwalaχ-bɨr  (work-PL)      haj=xa (there(ESS)=ADD)      ??? ()      belikin  (maybe)      sa (one)      g*al  (piece)      xuw-a-d, (bread-OBL-ATTR)      mi (this)      xɨdɨl-dɨ  (woman-ATTR)      je-kan  (we-COM)      r-iʔi  (2-go.IPFV)      xur. (QUOT)   ","Там мы можем поработать, может быть кусок хлеба достать, эта женщина с нами идет.","jeda ruʔud gwalaχbɨr haj xa belikin sa g*al xuwad, mi xɨdɨldɨ jekan riʔi xur ",muhammad_shafi_4latin
1,*(v post),waʔas,haja-quʔ,haja quʔ,4.do.IPFV backwards,что за форма? ТМ: скорее не глагол вообще,načaʁ (ill)      r-iši-r-a (2-become-CVB-be)      a-ni-i (be-CVB-PST)      q'ʷaˁd (two)      apiracii (surgery)      hɨʔɨ-r ( 4.do.PFV-CVB)      a-ni-i (be-CVB-PST)      haja-quʔ (4.do.IPFV-backwards)      za-da (I-ERG)      gʷalaχ (job)      juq'u-du (hard-ATTR)      gʷalaχ (job)      q-a<w>aʔa-s (<3>-RE-do-INF)      ruʔu-r-dɨš (1.become.IPFV-CVB-NO),"Заболела, две операции перенесла. После операции я тяжелую работу не могу делать.","načaʁ rišira aniʔi, q'ʷaˁd apiracii hɨʔɨr aniʔi. hajaqu zada gʷalaχ juq'udu gʷalaχ qawaʔas ruʔurdɨš",180724_0081_18-10-18
